GEO UID,Census Tract name,Total Education,No certificate,High (secondary) school,Postsecondary Education
5350324.06,324.06,1810,30,240,1545
5350330.00,330.00,2095,75,395,1620
5350331.01,331.01,2700,155,465,2085
5350331.03,331.03,3100,475,870,1755
5350331.04,331.04,1875,135,345,1395
5350332.00,332.00,3935,555,1015,2365
5350333.00,333.00,2540,220,585,1730
5350334.00,334.00,1905,105,255,1545
5350335.00,335.00,4115,375,970,2775
5350336.00,336.00,3915,345,1020,2545
5350337.01,337.01,715,125,160,430
5350337.02,337.02,925,125,235,570
5350338.00,338.00,3575,245,815,2515
5350339.00,339.00,3680,115,665,2900
5350340.00,340.00,3975,370,925,2675
5350341.02,341.02,2510,295,615,1600
5350341.03,341.03,1615,215,405,990
5350341.04,341.04,3535,565,925,2045
5350342.00,342.00,4395,465,970,2965
5350343.00,343.00,2150,300,580,1270
5350344.01,344.01,2755,420,665,1670
5350344.02,344.02,1950,300,575,1075
5350345.00,345.00,2290,190,545,1555
5350346.01,346.01,2500,420,605,1480
5350346.02,346.02,3080,290,760,2030
5350347.00,347.00,1905,165,335,1415
5350348.00,348.00,2895,190,590,2115
5350349.00,349.00,3305,380,1010,1920
5350350.00,350.00,2775,290,695,1785
5350351.01,351.01,2825,350,835,1640
5350351.02,351.02,1605,210,365,1030
5350352.00,352.00,2895,280,675,1935
5350353.02,353.02,2800,410,690,1695
5350353.03,353.03,1625,125,385,1120
5350353.04,353.04,2285,350,615,1320
5350354.00,354.00,3005,265,765,1980
5350355.02,355.02,2690,295,715,1675
5350355.04,355.04,2710,270,770,1675
5350355.05,355.05,1905,300,455,1145
5350355.06,355.06,855,110,240,500
5350356.00,356.00,2550,220,675,1650
5350357.01,357.01,3210,675,865,1670
5350357.02,357.02,2420,530,685,1205
5350358.01,358.01,1880,175,525,1175
5350358.02,358.02,2740,350,680,1705
5350358.03,358.03,3100,435,830,1845
5350359.00,359.00,4105,520,1200,2390
5350360.00,360.00,3435,295,820,2320
5350361.01,361.01,2935,95,565,2285
5350361.02,361.02,3900,120,770,3010
5350362.01,362.01,3375,255,770,2345
5350362.02,362.02,3065,225,770,2080
5350362.03,362.03,3365,195,790,2380
5350362.04,362.04,2590,165,780,1640
5350363.02,363.02,1640,105,440,1100
5350363.04,363.04,2210,170,540,1505
5350363.05,363.05,2505,355,615,1545
5350363.06,363.06,4445,240,725,3480
5350363.07,363.07,2820,430,760,1625
5350364.01,364.01,3040,315,755,1975
5350364.02,364.02,1505,140,345,1025
5350365.00,365.00,4330,455,975,2895
5350366.00,366.00,3355,435,830,2095
5350367.01,367.01,2425,215,575,1640
5350367.02,367.02,1920,210,490,1220
5350368.01,368.01,3970,180,585,3200
5350368.02,368.02,1990,175,565,1250
5350369.00,369.00,4105,630,1000,2475
5350370.01,370.01,5410,785,1345,3280
5350370.02,370.02,3040,375,795,1865
5350370.03,370.03,2320,280,605,1435
5350371.00,371.00,4740,460,1170,3105
5350372.00,372.00,2380,250,585,1540
5350373.00,373.00,2720,220,705,1800
5350374.01,374.01,3105,220,615,2270
5350374.02,374.02,1705,220,285,1200
5350374.03,374.03,2020,255,570,1195
5350375.01,375.01,3130,365,645,2115
5350375.02,375.02,900,30,180,695
5350375.03,375.03,2815,365,575,1880
5350375.04,375.04,3230,405,670,2155
5350375.05,375.05,3645,290,715,2645
5350376.01,376.01,2640,445,685,1510
5350376.02,376.02,2640,445,720,1475
5350376.04,376.04,2515,255,600,1655
5350376.05,376.05,3305,795,800,1705
5350376.06,376.06,40,10,20,15
5350376.08,376.08,3025,395,730,1905
5350376.09,376.09,2170,290,550,1330
5350376.11,376.11,1685,255,450,980
5350376.12,376.12,2575,245,515,1805
5350376.13,376.13,1570,165,355,1050
5350376.14,376.14,1935,410,490,1035
5350376.15,376.15,1630,145,310,1180
5350376.16,376.16,2060,260,375,1425
5350377.02,377.02,2270,325,605,1340
5350377.03,377.03,1415,250,260,900
5350377.04,377.04,3120,715,845,1560
5350377.06,377.06,1925,580,590,755
5350377.07,377.07,2365,625,635,1105
5350377.08,377.08,2700,420,575,1710
5350377.09,377.09,3760,215,675,2875
5350378.02,378.02,1560,260,385,910
5350378.03,378.03,4560,460,1150,2950
5350378.04,378.04,3165,375,835,1950
5350378.05,378.05,2020,235,475,1310
5350378.06,378.06,3160,440,835,1890
5350378.07,378.07,3565,470,920,2175
5350378.08,378.08,3315,630,950,1735
5350378.11,378.11,3065,445,715,1910
