Name,"Census Tract ID","Households by Income (Current Year) | Median Household Income (Current Year $), 2025"
"CT0166.00, Toronto, ON",5350166.00,128103.17
"CT0167.01, Toronto, ON",5350167.01,98966.6
"CT0167.02, Toronto, ON",5350167.02,76886.02
"CT0168.00, Toronto, ON",5350168.00,70372.67
"CT0169.01, Toronto, ON",5350169.01,97867.62
"CT0169.02, Toronto, ON",5350169.02,85817.26
"CT0170.00, Toronto, ON",5350170.00,87741.69
"CT0171.00, Toronto, ON",5350171.00,59911.73
"CT0172.00, Toronto, ON",5350172.00,56410.94
"CT0173.00, Toronto, ON",5350173.00,61197.7
"CT0174.00, Toronto, ON",5350174.00,77441.55
"CT0175.01, Toronto, ON",5350175.01,60703.67
"CT0175.02, Toronto, ON",5350175.02,59199.54
"CT0176.00, Toronto, ON",5350176.00,113770.62
"CT0180.00, Toronto, ON",5350180.00,68367.3
"CT0181.01, Toronto, ON",5350181.01,133967.59
"CT0181.02, Toronto, ON",5350181.02,80571.95
"CT0182.00, Toronto, ON",5350182.00,136683.42
"CT0183.01, Toronto, ON",5350183.01,132463.98
"CT0183.02, Toronto, ON",5350183.02,150784.06
"CT0184.01, Toronto, ON",5350184.01,82948.9
"CT0184.02, Toronto, ON",5350184.02,92239.55
"CT0185.01, Toronto, ON",5350185.01,71921.9
"CT0185.02, Toronto, ON",5350185.02,77142.01
"CT0186.00, Toronto, ON",5350186.00,205239.85
"CT0187.00, Toronto, ON",5350187.00,134259.29
"CT0188.00, Toronto, ON",5350188.00,130281.91
"CT0189.00, Toronto, ON",5350189.00,76009.52
"CT0190.01, Toronto, ON",5350190.01,67773.63
"CT0190.02, Toronto, ON",5350190.02,64441.05
"CT0191.00, Toronto, ON",5350191.00,89486.78
"CT0192.00, Toronto, ON",5350192.00,54312.61
"CT0193.00, Toronto, ON",5350193.00,127106.88
"CT0194.01, Toronto, ON",5350194.01,55593.91
"CT0194.02, Toronto, ON",5350194.02,66018.33
"CT0194.03, Toronto, ON",5350194.03,51198.87
"CT0194.04, Toronto, ON",5350194.04,82740.85
"CT0195.01, Toronto, ON",5350195.01,175188.09
"CT0195.02, Toronto, ON",5350195.02,189926.93
"CT0196.01, Toronto, ON",5350196.01,182852.81
"CT0196.02, Toronto, ON",5350196.02,191702.96
"CT0200.01, Toronto, ON",5350200.01,74249.41
"CT0200.02, Toronto, ON",5350200.02,61159.7
"CT0201.00, Toronto, ON",5350201.00,89314.62
"CT0202.00, Toronto, ON",5350202.00,130245.82
"CT0203.00, Toronto, ON",5350203.00,102454.53
"CT0204.00, Toronto, ON",5350204.00,89156.6
"CT0205.00, Toronto, ON",5350205.00,0
"CT0206.01, Toronto, ON",5350206.01,100171.4
"CT0206.02, Toronto, ON",5350206.02,86376.53
"CT0207.00, Toronto, ON",5350207.00,81806.92
"CT0208.00, Toronto, ON",5350208.00,56948.45
"CT0209.00, Toronto, ON",5350209.00,68972.42
"CT0210.01, Toronto, ON",5350210.01,184221.6
"CT0210.03, Toronto, ON",5350210.03,110315.48
"CT0210.04, Toronto, ON",5350210.04,105704.57
"CT0211.00, Toronto, ON",5350211.00,105409.31
"CT0212.00, Toronto, ON",5350212.00,132817.42
"CT0213.01, Toronto, ON",5350213.01,132825.75
"CT0213.02, Toronto, ON",5350213.02,99141.44
"CT0214.00, Toronto, ON",5350214.00,112983.43
"CT0215.00, Toronto, ON",5350215.00,119660.8
"CT0216.00, Toronto, ON",5350216.00,183694.31
"CT0217.00, Toronto, ON",5350217.00,63112.09
"CT0218.00, Toronto, ON",5350218.00,188356.39
"CT0219.00, Toronto, ON",5350219.00,140855.47
"CT0220.00, Toronto, ON",5350220.00,113655.06
"CT0221.01, Toronto, ON",5350221.01,126596.46
"CT0221.02, Toronto, ON",5350221.02,81720.44
"CT0222.01, Toronto, ON",5350222.01,105481.8
"CT0222.02, Toronto, ON",5350222.02,86332.61
"CT0223.01, Toronto, ON",5350223.01,197668.1
"CT0223.02, Toronto, ON",5350223.02,194842.39
"CT0224.00, Toronto, ON",5350224.00,223686.74
"CT0225.01, Toronto, ON",5350225.01,102280.14
"CT0225.02, Toronto, ON",5350225.02,76416.91
"CT0226.00, Toronto, ON",5350226.00,244519.29
"CT0227.00, Toronto, ON",5350227.00,309205.42
"CT0228.00, Toronto, ON",5350228.00,170348.31
"CT0229.00, Toronto, ON",5350229.00,833903.63
"CT0230.01, Toronto, ON",5350230.01,105166.96
"CT0230.02, Toronto, ON",5350230.02,86159.43
"CT0231.00, Toronto, ON",5350231.00,151978.69
"CT0232.00, Toronto, ON",5350232.00,282878.12
"CT0233.00, Toronto, ON",5350233.00,154024.63
"CT0234.00, Toronto, ON",5350234.00,133012.86
"CT0235.01, Toronto, ON",5350235.01,137655.26
"CT0235.02, Toronto, ON",5350235.02,106985.85
"CT0236.01, Toronto, ON",5350236.01,91366.69
"CT0236.02, Toronto, ON",5350236.02,120268.55
"CT0237.01, Toronto, ON",5350237.01,75570.52
"CT0237.02, Toronto, ON",5350237.02,99788.94
"CT0237.03, Toronto, ON",5350237.03,81040.47
"CT0238.01, Toronto, ON",5350238.01,144084.57
"CT0238.02, Toronto, ON",5350238.02,86744.8
"CT0239.00, Toronto, ON",5350239.00,92384.37
"CT0240.01, Toronto, ON",5350240.01,150509.01
"CT0240.02, Toronto, ON",5350240.02,82271.49
"CT0241.00, Toronto, ON",5350241.00,143893.84
"CT0242.00, Toronto, ON",5350242.00,80490.43
"CT0243.01, Toronto, ON",5350243.01,77594.72
"CT0243.02, Toronto, ON",5350243.02,83885.22
"CT0244.01, Toronto, ON",5350244.01,103384.77
"CT0244.02, Toronto, ON",5350244.02,73045.23
"CT0245.00, Toronto, ON",5350245.00,72899.97
"CT0246.00, Toronto, ON",5350246.00,85850.78
"CT0247.01, Toronto, ON",5350247.01,88572.25
"CT0247.02, Toronto, ON",5350247.02,96752.21
"CT0248.02, Toronto, ON",5350248.02,60042.98
"CT0248.03, Toronto, ON",5350248.03,102687.38
"CT0248.04, Toronto, ON",5350248.04,83561.87
"CT0248.05, Toronto, ON",5350248.05,92092.23
"CT0249.01, Toronto, ON",5350249.01,95964.22
"CT0249.03, Toronto, ON",5350249.03,99493.77
"CT0249.04, Toronto, ON",5350249.04,98229.96
"CT0249.05, Toronto, ON",5350249.05,69351.1
"CT0250.01, Toronto, ON",5350250.01,82108.18
"CT0250.02, Toronto, ON",5350250.02,83261.83
"CT0250.04, Toronto, ON",5350250.04,75658
"CT0250.05, Toronto, ON",5350250.05,76024.24
"CT0260.01, Toronto, ON",5350260.01,73018.25
"CT0260.04, Toronto, ON",5350260.04,51368.02
"CT0260.05, Toronto, ON",5350260.05,46285.48
"CT0260.06, Toronto, ON",5350260.06,87988.15
"CT0260.07, Toronto, ON",5350260.07,93023.74
"CT0261.00, Toronto, ON",5350261.00,61061.08
"CT0262.01, Toronto, ON",5350262.01,63164.62
"CT0262.02, Toronto, ON",5350262.02,84643.28
"CT0263.02, Toronto, ON",5350263.02,98984.78
"CT0263.03, Toronto, ON",5350263.03,78427.21
"CT0263.04, Toronto, ON",5350263.04,86435.39
"CT0264.00, Toronto, ON",5350264.00,284891.27
"CT0265.00, Toronto, ON",5350265.00,281765.19
"CT0266.00, Toronto, ON",5350266.00,482669.37
"CT0267.00, Toronto, ON",5350267.00,207748.61
"CT0268.00, Toronto, ON",5350268.00,113317.74
"CT0269.01, Toronto, ON",5350269.01,74447.78
"CT0269.02, Toronto, ON",5350269.02,165116.74
"CT0270.01, Toronto, ON",5350270.01,89654.72
"CT0270.02, Toronto, ON",5350270.02,88501.32
"CT0271.01, Toronto, ON",5350271.01,115952.35
"CT0271.02, Toronto, ON",5350271.02,88694.76
"CT0272.01, Toronto, ON",5350272.01,69652.14
"CT0272.02, Toronto, ON",5350272.02,106729.04
"CT0273.01, Toronto, ON",5350273.01,208309.62
"CT0273.02, Toronto, ON",5350273.02,140547.74
"CT0274.01, Toronto, ON",5350274.01,122099.81
"CT0274.02, Toronto, ON",5350274.02,125000
"CT0275.00, Toronto, ON",5350275.00,143652.15
"CT0276.01, Toronto, ON",5350276.01,137648.52
"CT0276.02, Toronto, ON",5350276.02,185622.54
"CT0277.00, Toronto, ON",5350277.00,214076.55
"CT0278.00, Toronto, ON",5350278.00,104275.49
"CT0279.01, Toronto, ON",5350279.01,101542.21
"CT0279.02, Toronto, ON",5350279.02,75858.11
"CT0280.00, Toronto, ON",5350280.00,74866.94
"CT0281.01, Toronto, ON",5350281.01,65843.14
"CT0281.02, Toronto, ON",5350281.02,96338.06
"CT0282.00, Toronto, ON",5350282.00,113878
"CT0283.01, Toronto, ON",5350283.01,67076.67
